--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        6.213K         4.899K        |   209   30.2      0    0.0   32.9 
        4.115K         4.899K        |   210   30.3      0    0.0   33.1 
        4.854K         4.899K        |   211   30.5      0    0.0   33.2 
        5.864K         4.899K        |   212   30.7      0    0.0   33.4 
        5.973K         4.899K        |   213   30.8      0    0.0   33.6 
        3.656K         4.899K        |   214   31.0      0    0.0   33.7 
        6.197K         4.899K        |   215   31.2      0    0.0   33.9 
        4.993K         4.899K        |   216   31.3      0    0.0   34.1 
        5.022K         4.899K        |   217   31.5      0    0.0   34.2 
        5.269K         4.898K        |   218   31.7      0    0.0   34.4 
        5.263K         4.898K        |   219   31.8      0    0.0   34.6 
        2.390K         4.898K        |   220   32.0      0    0.0   34.7 
        4.501K         4.898K        |   221   32.2      0    0.0   34.9 
        4.408K         4.898K        |   222   32.3      0    0.0   35.1 
        6.426K         4.898K        |   223   32.5      0    0.0   35.3 
        4.936K         4.898K        |   224   32.7      0    0.0   35.4 
        2.916K         4.898K        |   225   32.9      0    0.0   35.6 
        6.316K         4.898K        |   226   33.0      0    0.0   35.8 
        3.206K         4.898K        |   227   33.2      0    0.0   36.0 
        2.884K         4.898K        |   228   33.4      0    0.0   36.1 
        7.164K         4.897K        |   229   33.6      0    0.0   36.3 
        5.904K         4.897K        |   230   33.7      0    0.0   36.5 
        4.879K         4.897K        |   231   33.9      0    0.0   36.7 
        3.544K         4.897K        |   232   34.1      0    0.0   36.9 
        5.352K         4.897K        |   233   34.3      0    0.0   37.0 
        7.103K         4.897K        |   234   34.5      0    0.0   37.2 
        4.114K         4.896K        |   235   34.6      0    0.0   37.4 
        6.064K         4.896K        |   236   34.8      0    0.0   37.6 
        7.399K         4.896K        |   237   35.0      0    0.0   37.8 
        5.995K         4.896K        |   238   35.2      0    0.0   38.0 
        7.375K         4.895K        |   239   35.4      0    0.0   38.2 
        5.116K         4.895K        |   240   35.6      0    0.0   38.3 
        4.536K         4.895K        |   241   35.8      0    0.0   38.5 
        4.124K         4.894K        |   242   36.0      0    0.0   38.7 
        5.320K         4.894K        |   243   36.1      0    0.0   38.9 
        5.204K         4.894K        |   244   36.3      0    0.0   39.1 
        3.695K         4.894K        |   245   36.5      0    0.0   39.3 
        4.847K         4.894K        |   246   36.7      0    0.0   39.5 
        2.632K         4.894K        |   247   36.9      0    0.0   39.7 
        4.219K         4.893K        |   248   37.1      0    0.0   39.9 
        6.261K         4.893K        |   249   37.3      0    0.0   40.1 
        6.831K         4.893K        |   250   37.5      0    0.0   40.9 
       -3.166K         4.893K        |   251   37.7      0    0.0   41.1 
        3.000K         4.893K        |   252   37.8      0    0.0   41.3 
        6.169K         4.893K        |   253   38.0      0    0.0   41.5 
        3.157K         4.893K        |   254   38.2      0    0.0   41.6 
        6.064K         4.893K        |   255   38.3      0    0.0   41.8 
        4.709K         4.893K        |   256   38.5      0    0.0   42.0 
        4.926K         4.893K        |   257   38.7      0    0.0   42.1 
        4.860K         4.893K        |   258   38.8      0    0.0   42.3 
        3.605K         4.893K        |   259   39.0      0    0.0   42.5 
        6.000K         4.893K        |   260   39.2      0    0.0   42.6 
