Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19971129:0800,4.3,24,T
1615,19971130:0800,2.5,24,T
1615,19971201:0800,3.5,24,T
1615,19971202:0800,2.5,24,T
1615,19971203:0800,1.8,24,T
1615,19971204:0800,2.6,24,T
1615,19971205:0800,3.5,24,T
1615,19971206:0800,5.2,24,T
1615,19971207:0800,3.2,24,T
1615,19971208:0800,5.1,24,T
1615,19971209:0800,1.5,24,T
1615,19971210:0800,3.3,24,T
1615,19971211:0800,3.2,24,T
1615,19971212:0800,5.2,24,T
1615,19971213:0800,3.8,24,T
1615,19971214:0800,5.7,24,T
1615,19971215:0800,5.7,24,T
1615,19971216:0800,5.1,24,T
1615,19971217:0800,2.8,24,T
1615,19971218:0800,4.9,24,T
1615,19971219:0800,5.4,24,T
1615,19971220:0800,5.8,24,T
1615,19971221:0800,5.2,24,T
1615,19971222:0800,6.5,24,T
1615,19971223:0800,4.6,24,T
1615,19971224:0800,4.1,24,T
1615,19971225:0800,6.2,24,T
1615,19971226:0800,2.3,24,T
1615,19971227:0800,5.7,24,T
1615,19971228:0800,5.8,24,T
1615,19971229:0800,4.2,24,T
1615,19971230:0800,4.9,24,T
1615,19971231:0800,5.4,24,T
1615,19980101:0800,4.7,24,T
1615,19980102:0800,5.9,24,T
1615,19980103:0800,6.2,24,T
1615,19980104:0800,5.7,24,T
1615,19980105:0800,6.0,24,T
1615,19980106:0800,4.9,24,T
1615,19980107:0800,4.8,24,T
1615,19980108:0800,5.2,24,T
1615,19980109:0800,6.1,24,T
1615,19980110:0800,5.6,24,T
1615,19980111:0800,4.5,24,T
1615,19980112:0800,2.8,24,T
1615,19980113:0800,3.4,24,T
1615,19980114:0800,5.2,24,T
1615,19980115:0800,5.5,24,T
1615,19980116:0800,5.8,24,T
1615,19980117:0800,3.6,24,T
1615,19980118:0800,5.5,24,T
1615,19980119:0800,5.6,24,T
1615,19980120:0800,5.5,24,T
1615,19980121:0800,4.6,24,T
1615,19980122:0800,1.3,24,T
