--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        3.841K         4.906K        |   175   44.6      0    0.0   46.8 
        6.648K         4.906K        |   176   44.9      0    0.0   47.1 
        3.740K         4.906K        |   177   45.2      0    0.0   47.4 
        4.769K         4.906K        |   178   45.5      0    0.0   47.7 
        4.019K         4.906K        |   179   45.8      0    0.0   48.0 
        2.825K         4.906K        |   180   46.1      0    0.0   48.3 
        5.752K         4.906K        |   181   46.3      0    0.0   48.5 
        4.887K         4.906K        |   182   46.6      0    0.0   48.8 
        4.237K         4.905K        |   183   46.9      0    0.0   49.1 
        3.681K         4.905K        |   184   47.3      0    0.0   49.5 
        5.114K         4.905K        |   185   47.6      0    0.0   49.8 
        6.147K         4.904K        |   186   47.9      0    0.0   50.1 
        5.048K         4.904K        |   187   48.2      0    0.0   50.4 
        4.785K         4.904K        |   188   48.5      0    0.0   50.7 
        7.265K         4.904K        |   189   48.8      0    0.0   51.0 
        2.266K         4.904K        |   190   49.1      0    0.0   51.3 
        4.895K         4.903K        |   191   49.4      0    0.0   51.6 
        3.044K         4.903K        |   192   49.7      0    0.0   52.0 
        5.040K         4.903K        |   193   50.0      0    0.0   52.3 
        7.305K         4.903K        |   194   50.4      0    0.0   52.6 
        3.224K         4.902K        |   195   50.7      0    0.0   52.9 
        4.928K         4.902K        |   196   51.0      0    0.0   53.2 
        3.490K         4.901K        |   197   51.3      0    0.0   53.5 
        6.002K         4.900K        |   198   51.6      0    0.0   53.8 
        2.871K         4.900K        |   199   51.9      0    0.0   54.2 
        5.350K         4.900K        |   200   52.3      0    0.0   55.0 
        3.605K         4.899K        |   201   52.7      0    0.0   55.4 
        3.398K         4.899K        |   202   52.9      0    0.0   55.7 
        5.776K         4.899K        |   203   53.2      0    0.0   56.0 
        7.937K         4.899K        |   204   53.5      0    0.0   56.2 
        5.100K         4.898K        |   205   53.7      0    0.0   56.5 
        1.740K         4.898K        |   206   54.0      0    0.0   56.7 
        6.251K         4.898K        |   207   54.3      0    0.0   57.0 
        4.066K         4.898K        |   208   54.5      0    0.0   57.3 
        6.153K         4.898K        |   209   54.8      0    0.0   57.6 
        4.211K         4.898K        |   210   55.1      0    0.0   57.9 
        4.892K         4.897K        |   211   55.4      0    0.0   58.1 
        5.812K         4.897K        |   212   55.7      0    0.0   58.4 
        5.914K         4.897K        |   213   55.9      0    0.0   58.7 
        3.797K         4.897K        |   214   56.2      0    0.0   59.0 
        6.195K         4.897K        |   215   56.5      0    0.0   59.3 
        4.991K         4.897K        |   216   56.8      0    0.0   59.6 
        5.086K         4.896K        |   217   57.1      0    0.0   59.8 
        5.327K         4.896K        |   218   57.4      0    0.0   60.1 
        5.266K         4.896K        |   219   57.7      0    0.0   60.4 
        2.594K         4.896K        |   220   57.9      0    0.0   60.7 
        4.509K         4.896K        |   221   58.2      0    0.0   61.0 
        4.653K         4.895K        |   222   58.5      0    0.0   61.3 
        6.396K         4.895K        |   223   58.8      0    0.0   61.6 
        4.922K         4.895K        |   224   59.1      0    0.0   61.9 
        2.911K         4.895K        |   225   59.4      0    0.0   62.2 
        6.348K         4.895K        |   226   59.7      0    0.0   62.5 
        3.203K         4.895K        |   227   60.0      0    0.0   62.8 
        2.896K         4.895K        |   228   60.3      0    0.0   63.1 
        7.160K         4.894K        |   229   60.6      0    0.0   63.4 
        5.905K         4.894K        |   230   60.9      0    0.0   63.7 
        4.882K         4.894K        |   231   61.2      0    0.0   64.0 
        3.528K         4.893K        |   232   61.5      0    0.0   64.3 
        5.354K         4.893K        |   233   61.8      0    0.0   64.6 
        7.100K         4.893K        |   234   62.1      0    0.0   64.9 
        4.114K         4.893K        |   235   62.4      0    0.0   65.2 
        6.067K         4.893K        |   236   62.8      0    0.0   65.5 
        7.399K         4.893K        |   237   63.1      0    0.0   65.9 
        5.992K         4.892K        |   238   63.4      0    0.0   66.2 
        7.401K         4.892K        |   239   63.7      0    0.0   66.5 
        5.118K         4.892K        |   240   64.0      0    0.0   66.8 
        4.537K         4.892K        |   241   64.3      0    0.0   67.1 
        4.137K         4.892K        |   242   64.7      0    0.0   67.5 
        5.309K         4.891K        |   243   65.0      0    0.0   67.8 
        5.228K         4.891K        |   244   65.3      0    0.0   68.1 
        3.671K         4.891K        |   245   65.6      0    0.0   68.4 
        4.832K         4.891K        |   246   66.0      0    0.0   68.8 
        2.630K         4.891K        |   247   66.3      0    0.0   69.1 
        4.205K         4.891K        |   248   66.6      0    0.0   69.4 
        6.258K         4.890K        |   249   66.9      0    0.0   69.7 
        6.824K         4.890K        |   250   67.3      0    0.0   70.8 
     -102.319K         4.890K        |   251   67.7      0    0.0   71.2 
        2.030K         4.890K        |   252   68.0      0    0.0   71.5 
        6.071K         4.890K        |   253   68.3      0    0.0   71.8 
        3.040K         4.890K        |   254   68.7      0    0.0   72.2 
        6.048K         4.890K        |   255   69.0      0    0.0   72.5 
        4.719K         4.890K        |   256   69.3      0    0.0   72.8 
        4.969K         4.890K        |   257   69.7      0    0.0   73.2 
        4.868K         4.890K        |   258   70.0      0    0.0   73.5 
        3.630K         4.890K        |   259   70.4      0    0.0   73.9 
        5.997K         4.890K        |   260   70.7      0    0.0   74.2 
        5.884K         4.890K        |   261   71.1      0    0.0   74.6 
        7.996K         4.890K        |   262   71.4      0    0.0   74.9 
        3.455K         4.890K        |   263   71.8      0    0.0   75.3 
        5.068K         4.890K        |   264   72.1      0    0.0   75.6 
        5.076K         4.890K        |   265   72.5      0    0.0   76.0 
        5.488K         4.890K        |   266   72.8      0    0.0   76.3 
        5.319K         4.890K        |   267   73.2      0    0.0   76.7 
        5.080K         4.890K        |   268   73.5      0    0.0   77.0 
        2.564K         4.890K        |   269   73.9      0    0.0   77.4 
        4.450K         4.889K        |   270   74.3      0    0.0   77.8 
        4.531K         4.889K        |   271   74.6      0    0.0   78.1 
        6.327K         4.889K        |   272   75.0      0    0.0   78.5 
        4.209K         4.889K        |   273   75.4      0    0.0   78.9 
        3.009K         4.889K        |   274   75.7      0    0.0   79.2 
        7.581K         4.889K        |   275   76.1      0    0.0   79.6 
        2.640K         4.889K        |   276   76.5      0    0.0   80.0 
        5.019K         4.888K        |   277   76.8      0    0.0   80.4 
        3.342K         4.888K        |   278   77.2      0    0.0   80.7 
        2.573K         4.888K        |   279   77.6      0    0.0   81.1 
        6.426K         4.888K        |   280   78.0      0    0.0   81.5 
        3.950K         4.888K        |   281   78.4      0    0.0   81.9 
        4.886K         4.888K        |   282   78.7      0    0.0   82.3 
        3.582K         4.888K        |   283   79.1      0    0.0   82.7 
        2.855K         4.887K        |   284   79.5      0    0.0   83.0 
        5.580K         4.887K        |   285   79.9      0    0.0   83.4 
        5.131K         4.887K        |   286   80.3      0    0.0   83.8 
        3.724K         4.887K        |   287   80.7      0    0.0   84.2 
        6.460K         4.887K        |   288   81.1      0    0.0   84.6 
        4.983K         4.887K        |   289   81.5      0    0.0   85.0 
        5.119K         4.887K        |   290   81.9      0    0.0   85.4 
        3.763K         4.887K        |   291   82.3      0    0.0   85.8 
        5.878K         4.887K        |   292   82.7      0    0.0   86.2 
        5.018K         4.887K        |   293   83.1      0    0.0   86.6 
        3.989K         4.886K        |   294   83.5      0    0.0   87.0 
        5.364K         4.886K        |   295   83.9      0    0.0   87.4 
        5.929K         4.886K        |   296   84.3      0    0.0   87.8 
        2.413K         4.886K        |   297   84.7      0    0.0   88.2 
        2.924K         4.886K        |   298   85.1      0    0.0   88.6 
        3.410K         4.886K        |   299   85.5      0    0.0   89.1 
        5.506K         4.886K        |   300   85.9      0    0.0   90.0 
        5.142K         4.886K        |   301   86.4      0    0.0   90.5 
        2.399K         4.886K        |   302   86.8      0    0.0   90.8 
        6.266K         4.886K        |   303   87.1      0    0.0   91.2 
        3.354K         4.885K        |   304   87.4      0    0.0   91.5 
        3.709K         4.885K        |   305   87.8      0    0.0   91.8 
        6.494K         4.885K        |   306   88.1      0    0.0   92.2 
        3.980K         4.885K        |   307   88.4      0    0.0   92.5 
        6.650K         4.885K        |   308   88.8      0    0.0   92.9 
        7.341K         4.885K        |   309   89.1      0    0.0   93.2 
        4.959K         4.885K        |   310   89.5      0    0.0   93.5 
        7.717K         4.885K        |   311   89.8      0    0.0   93.9 
        7.584K         4.885K        |   312   90.2      0    0.0   94.2 
        2.553K         4.885K        |   313   90.5      0    0.0   94.6 
        5.135K         4.885K        |   314   90.9      0    0.0   95.0 
        5.352K         4.885K        |   315   91.2      0    0.0   95.3 
