"year","week","rainfall","evapotranspiration"
2006,12,69.73333333333333,15.9
2007,12,0.9,20.300000000000004
2008,12,0.0,23.4
2009,12,37.8,18.8
2011,12,104.86666666666667,14.0
2012,12,159.63333333333333,15.3
2013,12,38.86666666666667,19.7
2014,12,7.466666666666666,21.9
2015,12,26.966666666666665,17.7
2016,12,83.0,15.900000000000002
2017,12,14.066666666666666,19.3
1997,13,20.066666666666666,15.7
1998,13,4.7333333333333325,18.6
1999,13,24.23333333333333,15.899999999999999
2000,13,4.6,17.2
2001,13,8.533333333333333,16.4
2002,13,19.633333333333333,18.5
2003,13,91.2,14.8
2004,13,0.0,19.3
2005,13,19.96666666666667,18.5
2006,13,79.03333333333333,14.399999999999999
2007,13,183.56666666666666,12.299999999999999
2008,13,25.400000000000002,16.099999999999998
2009,13,0.6666666666666666,19.5
2011,13,40.03333333333334,16.1
2012,13,6.066666666666666,21.5
2013,13,6.6000000000000005,21.2
2014,13,3.2666666666666666,22.3
2015,13,17.833333333333332,19.099999999999998
2016,13,19.666666666666664,16.799999999999997
2017,13,124.13333333333333,17.5
1997,14,1.2000000000000002,17.5
1998,14,26.93333333333333,14.5
1999,14,77.1,9.6
2000,14,55.833333333333336,9.4
2001,14,142.36666666666667,11.600000000000001
2002,14,18.333333333333332,12.9
2003,14,9.133333333333335,17.5
2004,14,1.8,16.0
2005,14,22.46666666666667,14.700000000000001
2006,14,69.13333333333333,12.999999999999998
2007,14,3.5333333333333337,14.5
2008,14,15.166666666666666,12.8
2009,14,0.3333333333333333,17.1
2011,14,20.733333333333334,15.600000000000001
2012,14,0.3333333333333333,13.3
2013,14,13.7,13.8
2014,14,8.066666666666668,19.599999999999998
2015,14,18.533333333333335,18.0
2016,14,10.2,13.4
2017,14,229.20000000000002,13.3
1997,15,39.76666666666667,13.2
1998,15,50.13333333333333,12.1
1999,15,25.433333333333334,11.3
2000,15,117.36666666666667,11.0
2001,15,182.4,12.100000000000001
2002,15,2.033333333333333,13.899999999999999
2003,15,68.83333333333333,12.100000000000001
2004,15,1.9333333333333333,12.6
2005,15,0.19999999999999998,14.0
2006,15,18.7,12.0
2007,15,6.466666666666668,13.0
2008,15,13.533333333333331,13.499999999999998
2009,15,7.533333333333333,13.600000000000001
2011,15,34.23333333333333,12.4
2012,15,34.800000000000004,15.4
2013,15,0.7333333333333334,14.7
2014,15,101.39999999999999,12.0
