--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        9.572K         6.759K        |   183   75.5      0    0.0   75.9 
        8.339K         6.759K        |   184   76.0      0    0.0   76.4 
        6.479K         6.759K        |   185   76.6      0    0.0   77.0 
        4.051K         6.759K        |   186   77.1      0    0.0   77.5 
        6.336K         6.759K        |   187   77.7      0    0.0   78.1 
        6.733K         6.759K        |   188   78.4      0    0.0   78.8 
        6.288K         6.759K        |   189   79.0      0    0.0   79.4 
        5.325K         6.759K        |   190   79.5      0    0.0   79.9 
        8.638K         6.759K        |   191   80.0      0    0.0   80.5 
        4.254K         6.759K        |   192   80.6      0    0.0   81.0 
        7.149K         6.759K        |   193   81.2      0    0.0   81.6 
        4.098K         6.758K        |   194   81.7      0    0.0   82.1 
        5.467K         6.758K        |   195   82.3      0    0.0   82.7 
        7.997K         6.758K        |   196   82.8      0    0.0   83.2 
        5.543K         6.758K        |   197   83.4      0    0.0   83.9 
        8.043K         6.758K        |   198   84.0      0    0.0   84.4 
        8.265K         6.758K        |   199   84.5      0    0.0   84.9 
        8.176K         6.758K        |   200   85.1      0    0.0   85.5 
        7.983K         6.758K        |   201   85.7      0    0.0   86.1 
        7.600K         6.758K        |   202   86.2      0    0.0   86.7 
        8.293K         6.758K        |   203   86.8      0    0.0   87.3 
        6.836K         6.758K        |   204   87.4      0    0.0   87.9 
        7.067K         6.758K        |   205   88.0      0    0.0   88.5 
        6.982K         6.758K        |   206   88.6      0    0.0   89.1 
        6.668K         6.758K        |   207   89.2      0    0.0   89.6 
        6.571K         6.758K        |   208   89.8      0    0.0   90.2 
        5.570K         6.758K        |   209   90.4      0    0.0   90.8 
        8.011K         6.758K        |   210   91.0      0    0.0   91.4 
        8.128K         6.758K        |   211   91.6      0    0.0   92.1 
        6.816K         6.758K        |   212   92.2      0    0.0   92.7 
        9.404K         6.758K        |   213   92.8      0    0.0   93.3 
        8.094K         6.758K        |   214   93.4      0    0.0   93.8 
        6.759K         6.758K        |   215   94.0      0    0.0   94.4 
        5.411K         6.758K        |   216   94.7      0    0.0   95.1 
        5.275K         6.758K        |   217   95.3      0    0.0   95.7 
        7.060K         6.758K        |   218   95.9      0    0.0   96.3 
        4.182K         6.758K        |   219   96.5      0    0.0   96.9 
        5.081K         6.758K        |   220   97.1      0    0.0   97.5 
        6.817K         6.758K        |   221   97.7      0    0.0   98.1 
        4.303K         6.758K        |   222   98.3      0    0.0   98.7 
        9.082K         6.757K        |   223   98.9      0    0.0   99.3 
        9.582K         6.757K        |   224   99.5      0    0.0   100.0 
        6.670K         6.757K        |   225   100.1      0    0.0   100.6 
        8.210K         6.757K        |   226   100.8      0    0.0   101.2 
        4.328K         6.757K        |   227   101.4      0    0.0   101.9 
        6.990K         6.757K        |   228   102.0      0    0.0   102.5 
        7.822K         6.757K        |   229   102.6      0    0.0   103.1 
        9.301K         6.757K        |   230   103.3      0    0.0   103.8 
        6.623K         6.757K        |   231   103.9      0    0.0   104.3 
        6.998K         6.757K        |   232   104.5      0    0.0   104.9 
        5.513K         6.757K        |   233   105.1      0    0.0   105.5 
        6.553K         6.757K        |   234   105.7      0    0.0   106.2 
        6.885K         6.757K        |   235   106.3      0    0.0   106.8 
        7.410K         6.757K        |   236   107.0      0    0.0   107.5 
        6.821K         6.757K        |   237   107.7      0    0.0   108.2 
        6.779K         6.757K        |   238   108.4      0    0.0   108.9 
        9.492K         6.757K        |   239   109.0      0    0.0   109.5 
        6.893K         6.757K        |   240   109.7      0    0.0   110.2 
        7.737K         6.757K        |   241   110.3      0    0.0   110.8 
        9.240K         6.757K        |   242   111.0      0    0.0   111.4 
        8.284K         6.757K        |   243   111.6      0    0.0   112.1 
        6.810K         6.757K        |   244   112.2      0    0.0   112.7 
        9.667K         6.757K        |   245   112.8      0    0.0   113.3 
        7.715K         6.757K        |   246   113.5      0    0.0   114.0 
        9.290K         6.757K        |   247   114.1      0    0.0   114.6 
        5.426K         6.757K        |   248   114.7      0    0.0   115.2 
        5.330K         6.757K        |   249   115.4      0    0.0   115.9 
        3.892K         6.757K        |   250   116.0      0    0.0   116.5 
        6.781K         6.757K        |   251   116.6      0    0.0   117.1 
        9.298K         6.757K        |   252   117.3      0    0.0   117.8 
        6.822K         6.757K        |   253   117.9      0    0.0   118.4 
        5.854K         6.757K        |   254   118.5      0    0.0   119.0 
        5.419K         6.757K        |   255   119.2      0    0.0   119.8 
        4.184K         6.757K        |   256   120.2      0    0.0   120.7 
        8.626K         6.757K        |   257   121.0      0    0.0   121.5 
        8.559K         6.757K        |   258   121.8      0    0.0   122.3 
        7.905K         6.757K        |   259   122.6      0    0.0   123.1 
        6.952K         6.757K        |   260   123.4      0    0.0   123.9 
        8.016K         6.757K        |   261   124.2      0    0.0   124.7 
        6.752K         6.757K        |   262   125.0      0    0.0   125.5 
        8.325K         6.757K        |   263   125.8      0    0.0   126.3 
        4.118K         6.756K        |   264   126.6      0    0.0   127.1 
        9.234K         6.756K        |   265   127.4      0    0.0   127.9 
        4.100K         6.756K        |   266   128.2      0    0.0   128.7 
        6.316K         6.756K        |   267   129.0      0    0.0   129.6 
        6.844K         6.756K        |   268   129.8      0    0.0   130.4 
        8.111K         6.756K        |   269   130.7      0    0.0   131.2 
        4.210K         6.756K        |   270   131.5      0    0.0   132.0 
        5.247K         6.756K        |   271   132.3      0    0.0   132.8 
        6.872K         6.756K        |   272   133.1      0    0.0   133.6 
        7.718K         6.756K        |   273   133.9      0    0.0   134.4 
        6.948K         6.756K        |   274   134.7      0    0.0   135.2 
        6.058K         6.756K        |   275   135.5      0    0.0   136.0 
        4.308K         6.756K        |   276   136.4      0    0.0   136.9 
        5.089K         6.756K        |   277   137.2      0    0.0   137.7 
        8.106K         6.756K        |   278   138.0      0    0.0   138.5 
        5.294K         6.756K        |   279   138.8      0    0.0   139.4 
        9.414K         6.756K        |   280   139.6      0    0.0   140.2 
        6.597K         6.756K        |   281   140.5      0    0.0   141.0 
        8.046K         6.756K        |   282   141.3      0    0.0   141.8 
        4.229K         6.756K        |   283   142.1      0    0.0   142.6 
        5.496K         6.756K        |   284   142.9      0    0.0   143.5 
        4.882K         6.756K        |   285   143.8      0    0.0   144.3 
        5.479K         6.756K        |   286   144.6      0    0.0   145.2 
        6.709K         6.756K        |   287   145.5      0    0.0   146.0 
        6.881K         6.756K        |   288   146.3      0    0.0   146.8 
        8.078K         6.756K        |   289   147.2      0    0.0   147.7 
        3.992K         6.756K        |   290   148.0      0    0.0   148.5 
        9.223K         6.756K        |   291   148.8      0    0.0   149.4 
        5.366K         6.756K        |   292   149.7      0    0.0   150.2 
        4.201K         6.756K        |   293   150.5      0    0.0   151.1 
        6.820K         6.756K        |   294   151.4      0    0.0   151.9 
        6.784K         6.756K        |   295   152.2      0    0.0   152.8 
        5.377K         6.756K        |   296   153.1      0    0.0   153.6 
        4.284K         6.756K        |   297   153.9      0    0.0   154.5 
        8.683K         6.756K        |   298   154.8      0    0.0   155.4 
        5.388K         6.756K        |   299   155.7      0    0.0   156.2 
        8.282K         6.756K        |   300   156.5      0    0.0   157.1 
        8.929K         6.756K        |   301   157.3      0    0.0   157.9 
        4.238K         6.756K        |   302   158.2      0    0.0   158.8 
        6.814K         6.756K        |   303   159.1      0    0.0   159.6 
        8.027K         6.756K        |   304   159.9      0    0.0   160.5 
        6.960K         6.756K        |   305   160.7      0    0.0   161.3 
        8.131K         6.756K        |   306   161.6      0    0.0   162.2 
        5.548K         6.756K        |   307   162.5      0    0.0   163.0 
        5.345K         6.756K        |   308   163.3      0    0.0   163.9 
        6.602K         6.756K        |   309   164.2      0    0.0   164.8 
        6.518K         6.756K        |   310   165.0      0    0.0   165.6 
        7.574K         6.756K        |   311   165.9      0    0.0   166.4 
        7.792K         6.756K        |   312   166.7      0    0.0   167.3 
        7.747K         6.756K        |   313   167.5      0    0.0   168.1 
        5.261K         6.756K        |   314   168.4      0    0.0   169.0 
        6.551K         6.756K        |   315   169.2      0    0.0   169.8 
        7.170K         6.756K        |   316   170.1      0    0.0   170.6 
        7.954K         6.756K        |   317   170.9      0    0.0   171.5 
        6.947K         6.756K        |   318   171.8      0    0.0   172.4 
        8.125K         6.756K        |   319   172.7      0    0.0   173.3 
        6.600K         6.756K        |   320   173.6      0    0.0   174.2 
        5.795K         6.756K        |   321   174.5      0    0.0   175.1 
        9.387K         6.756K        |   322   175.4      0    0.0   176.0 
